,Unnamed: 0,country,designation,points,price,province,variety,winery,rating,price_bin,rating_n,price_bin_n,wine_type
27,8726,Portugal,Arca Nova Colheita,86,12,Vinho Verde,Loureiro,Quinta das Arcas,medium,medium,2,2,white
24,7464,Portugal,Escolha,83,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Barca,low,medium,1,2,white
25,7567,Portugal,Ponte,85,10,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Lima,medium,medium,2,2,white
26,7775,Portugal,Casal Garcia,82,9,Vinho Verde,Portuguese White,Vidigal,low,medium,1,2,white
45,19735,Portugal,Casal Garcia,88,9,Vinho Verde,Loureiro,Quinta do Ameal,high,medium,0,2,white
28,8889,Portugal,Adamado,84,10,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Lima,medium,medium,2,2,white
29,8890,Portugal,Encostas do Lima,84,10,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Lima,medium,medium,2,2,white
31,10001,Portugal,Casal Garcia,80,8,Vinho Verde,Portuguese White,Mapreco,low,low,1,1,white
32,10400,Portugal,Miranda,85,10,Vinho Verde,Portuguese White,Campelo,medium,medium,2,2,white
33,10626,Portugal,Casal da Seara,84,6,Vinho Verde,Portuguese White,Campelo,medium,low,2,1,white
35,10973,Portugal,Casal Garcia,83,10,Vinho Verde,Portuguese White,Campelo,low,medium,1,2,white
36,11269,Portugal,Casal Garcia,82,10,Vinho Verde,Portuguese Red,Campelo,low,medium,1,2,red
38,12731,Portugal,Casal Garcia,91,9,Vinho Verde,Alvarinho,J. Portugal Ramos,high,medium,0,2,white
41,15724,Portugal,Adamado,85,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Lima,medium,medium,2,2,white
42,15734,Portugal,Fonte,85,8,Vinho Verde,Portuguese White,Aveleda,medium,low,2,1,white
44,19673,Portugal,Via Latina,88,13,Vinho Verde,Alvarinho,Vercoope,high,high,0,0,white
61,21096,Portugal,Quinta do Tamariz,87,9,Vinho Verde,Loureiro,Quinta de Santa Maria,medium,medium,2,2,white
46,19915,Portugal,Casal Garcia,87,15,Vinho Verde,Loureiro,Quinta do Tamariz,medium,high,2,0,white
47,20099,Portugal,Via Latina,86,6,Vinho Verde,Loureiro,Vercoope,medium,low,2,1,white
48,20152,Portugal,AT,86,9,Vinho Verde,Portuguese White,Borges,medium,medium,2,2,white
49,20274,Portugal,Hera Grande Escolha,86,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Barca,medium,medium,2,2,white
50,20457,Portugal,Terras de Felgueiras,85,6,Vinho Verde,Portuguese White,Vercoope,medium,low,2,1,white
51,20458,Portugal,Estreia Grande Escolha,85,13,Vinho Verde,Alvarinho,Viniverde,medium,high,2,0,white
52,20550,Portugal,Cape Roca Fisherman,85,11,Vinho Verde,Portuguese White,Casca Wines,medium,medium,2,2,white
53,20554,Portugal,Via Latina,85,6,Vinho Verde,Portuguese White,Vercoope,medium,low,2,1,white
54,20579,Portugal,Pavão,84,6,Vinho Verde,Portuguese White,Vercoope,medium,low,2,1,white
55,20610,Portugal,Estreia Grande Escolha,84,9,Vinho Verde,Loureiro,Viniverde,medium,medium,2,2,white
56,20613,Portugal,Hera,84,7,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Barca,medium,low,2,1,white
57,20694,Portugal,Estreia,83,8,Vinho Verde,Portuguese White,Viniverde,low,low,1,1,white
60,20911,Portugal,Monte Cascas Colheita,88,16,Vinho Verde,Portuguese White,Casca Wines,high,high,0,0,white
63,24692,Portugal,Casal Garcia,90,15,Vinho Verde,Loureiro,Quinta do Ameal,high,high,0,0,white
62,21413,Portugal,Cape Roca Fish,86,16,Vinho Verde,Portuguese White,Casca Wines,medium,high,2,0,white
82,28766,Portugal,Arca Nova Colheita,86,12,Vinho Verde,Loureiro,Quinta das Arcas,medium,medium,2,2,white
65,24990,Portugal,Casal Garcia,89,10,Vinho Verde,Portuguese White,Casa do Valle,high,medium,0,2,white
66,25019,Portugal,Casal Garcia,89,12,Vinho Verde,Portuguese White,Solar de Pinheiro,high,medium,0,2,white
67,25252,Portugal,Clemen Reserva,88,12,Vinho Verde,Portuguese White,Wines & Winemakers,high,medium,0,2,white
68,25254,Portugal,Avesso,88,12,Vinho Verde,Portuguese White,Solar de Pinheiro,high,medium,0,2,white
69,25255,Portugal,Quinta de Simaens,88,13,Vinho Verde,Portuguese White,Borges,high,high,0,0,white
70,25518,Portugal,Azal,87,12,Vinho Verde,Portuguese White,Solar de Pinheiro,medium,medium,2,2,white
71,25648,Portugal,AT,86,9,Vinho Verde,Portuguese White,Borges,medium,medium,2,2,white
72,25708,Portugal,Santola,86,7,Vinho Verde,Portuguese White,Messias,medium,low,2,1,white
73,25880,Portugal,Rei do Minho,85,9,Vinho Verde,Portuguese White,Vinicola do Norte,medium,medium,2,2,white
75,26003,Portugal,Aliança,85,7,Vinho Verde,Portuguese White,Caves Aliança,medium,low,2,1,white
76,26045,Portugal,Azul Portugal Escolha,85,11,Vinho Verde,Portuguese White,Wines & Winemakers,medium,medium,2,2,white
77,26381,Portugal,Praia,84,9,Vinho Verde,Portuguese White,Aveleda,medium,medium,2,2,white
78,28458,Portugal,Torre de Menagem Escolha,89,13,Vinho Verde,Portuguese White,Quintas de Melgaço,high,high,0,0,white
79,28566,Portugal,Varanda do Conde,90,9,Vinho Verde,Portuguese White,Provam,high,medium,0,2,white
81,28588,Portugal,Casal Garcia,90,9,Vinho Verde,Loureiro,J. Portugal Ramos,high,medium,0,2,white
87,30596,Portugal,Arca Nova,84,8,Vinho Verde,Portuguese White,Quinta das Arcas,medium,low,2,1,white
83,29203,Portugal,Casal Garcia,85,8,Vinho Verde,Portuguese White,Caves Aliança,medium,low,2,1,white
84,29210,Portugal,Casal Garcia Branco,85,8,Vinho Verde,Portuguese White,Aveleda,medium,low,2,1,white
85,29676,Portugal,Casal Garcia,85,8,Vinho Verde,Portuguese White,FVine,medium,low,2,1,white
86,30260,Portugal,Xadrez,85,9,Vinho Verde,Portuguese White,Dão Sul,medium,medium,2,2,white
106,34687,Portugal,Trevo,84,9,Vinho Verde,Portuguese White,Quinta do Portal,medium,medium,2,2,white
88,30736,Portugal,Casal Garcia,84,8,Vinho Verde,Portuguese White,Calamares,medium,low,2,1,white
89,30909,Portugal,Casal Garcia,84,8,Vinho Verde,Portuguese White,Mapreco,medium,low,2,1,white
90,31038,Portugal,Grinalda,84,9,Vinho Verde,Portuguese White,Aveleda,medium,medium,2,2,white
92,31556,Portugal,Casal Garcia,82,9,Vinho Verde,Portuguese White,Vinhas Altas,low,medium,1,2,white
94,32887,Portugal,Tinto,85,9,Vinho Verde,Portuguese Red,Adega de Monção,medium,medium,2,2,red
99,33481,Portugal,Aveleda,85,9,Vinho Verde,Portuguese White,Aveleda,medium,medium,2,2,white
103,34410,Portugal,Casal Garcia Branco,84,9,Vinho Verde,Portuguese White,Aveleda,medium,medium,2,2,white
105,34422,Portugal,Clemens Reserva,84,9,Vinho Verde,Portuguese White,Wines & Winemakers,medium,medium,2,2,white
110,35635,Portugal,Casal Garcia,88,9,Vinho Verde,Loureiro,Quinta do Ameal,high,medium,0,2,white
108,35333,Portugal,Via Latina,88,13,Vinho Verde,Alvarinho,Vercoope,high,high,0,0,white
109,35342,Portugal,Salsus,84,9,Vinho Verde,Portuguese White,Wines & Winemakers,medium,medium,2,2,white
124,40472,Portugal,Arca Nova Colheita,88,9,Vinho Verde,Portuguese White,Quinta das Arcas,high,medium,0,2,white
111,36861,Portugal,Tres Castas,85,10,Vinho Verde,Portuguese White,Campelo,medium,medium,2,2,white
113,37445,Portugal,Miranda,85,10,Vinho Verde,Portuguese White,Campelo,medium,medium,2,2,white
114,37746,Portugal,Casal da Seara,84,6,Vinho Verde,Portuguese White,Campelo,medium,low,2,1,white
116,38063,Portugal,Casal Garcia,83,10,Vinho Verde,Portuguese White,Campelo,low,medium,1,2,white
117,38150,Portugal,Alvarinho QM,90,13,Vinho Verde,Alvarinho,Quintas de Melgaço,high,high,0,0,white
118,38359,Portugal,Casal Garcia,82,10,Vinho Verde,Portuguese Red,Campelo,low,medium,1,2,red
120,38412,Portugal,Varanda do Conde,90,9,Vinho Verde,Portuguese White,Provam,high,medium,0,2,white
126,42168,Portugal,Casal Garcia,84,9,Vinho Verde,Portuguese White,Quinta de Lourosa,medium,medium,2,2,white
131,44162,Portugal,Casal Garcia,90,15,Vinho Verde,Loureiro,Quinta do Ameal,high,high,0,0,white
128,43223,Portugal,Torre de Menagem Escolha,88,12,Vinho Verde,Portuguese White,Quintas de Melgaço,high,medium,0,2,white
129,43253,Portugal,Terra Antiga,87,10,Vinho Verde,Portuguese White,Quintas de Melgaço,medium,medium,2,2,white
130,44107,Portugal,Torre de Menagem,86,10,Vinho Verde,Portuguese White,Quintas de Melgaço,medium,medium,2,2,white
151,49653,Portugal,Portal da Calçada,85,14,Vinho Verde,Portuguese White,Quinta da Calçada,medium,high,2,0,white
133,44944,Portugal,Cruzeiro Branco,85,9,Vinho Verde,Portuguese White,Vinhos Norte,medium,medium,2,2,white
134,45119,Portugal,Aphros,88,9,Vinho Verde,Loureiro,Casal Paço Padreiro,high,medium,0,2,white
135,45660,Portugal,Casal Garcia,89,10,Vinho Verde,Portuguese White,Casa do Valle,high,medium,0,2,white
136,45689,Portugal,Casal Garcia,89,12,Vinho Verde,Portuguese White,Solar de Pinheiro,high,medium,0,2,white
137,46004,Portugal,Lagar,87,15,Vinho Verde,Alvarinho,Quintas de Melgaço,medium,high,2,0,white
138,46852,Portugal,Clemen Reserva,88,12,Vinho Verde,Portuguese White,Wines & Winemakers,high,medium,0,2,white
139,46854,Portugal,Avesso,88,12,Vinho Verde,Portuguese White,Solar de Pinheiro,high,medium,0,2,white
140,46855,Portugal,Quinta de Simaens,88,13,Vinho Verde,Portuguese White,Borges,high,high,0,0,white
143,48048,Portugal,Azal,87,12,Vinho Verde,Portuguese White,Solar de Pinheiro,medium,medium,2,2,white
145,48658,Portugal,AT,86,9,Vinho Verde,Portuguese White,Borges,medium,medium,2,2,white
146,48928,Portugal,Santola,86,7,Vinho Verde,Portuguese White,Messias,medium,low,2,1,white
147,49051,Portugal,Casal Garcia Branco,85,8,Vinho Verde,Portuguese White,Aveleda,medium,low,2,1,white
148,49068,Portugal,Salsus,85,9,Vinho Verde,Portuguese White,Wines & Winemakers,medium,medium,2,2,white
149,49072,Portugal,Hera,85,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Barca,medium,medium,2,2,white
150,49350,Portugal,Lima,85,9,Vinho Verde,Loureiro,J. Portugal Ramos,medium,medium,2,2,white
186,66097,Portugal,Arca Nova,88,9,Vinho Verde,Portuguese White,Quinta das Arcas,high,medium,0,2,white
152,49660,Portugal,Azul Portugal Escolha,85,11,Vinho Verde,Portuguese White,Wines & Winemakers,medium,medium,2,2,white
153,49665,Portugal,Casal Garcia,85,9,Vinho Verde,Portuguese White,Aveleda,medium,medium,2,2,white
154,49670,Portugal,Royal Palmeira,84,13,Vinho Verde,Loureiro,Ideal Drinks,medium,high,2,0,white
156,49790,Portugal,Rei do Minho,85,9,Vinho Verde,Portuguese White,Vinicola do Norte,medium,medium,2,2,white
158,50252,Portugal,Terra Antiga,84,9,Vinho Verde,Portuguese White,Quintas de Melgaço,medium,medium,2,2,white
159,50271,Portugal,Gatão Branco,84,9,Vinho Verde,Portuguese White,Borges,medium,medium,2,2,white
160,50393,Portugal,Aliança,85,7,Vinho Verde,Portuguese White,Caves Aliança,medium,low,2,1,white
161,50675,Portugal,Azul Portugal Escolha,85,11,Vinho Verde,Portuguese White,Wines & Winemakers,medium,medium,2,2,white
162,50858,Portugal,Ela Branco,83,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Barca,low,medium,1,2,white
164,53022,Portugal,Grande Reserva Bruto,87,9,Vinho Verde,Portuguese Sparkling,Casa do Valle,medium,medium,2,2,white
165,58347,Portugal,Twin Vines,85,9,Vinho Verde,Portuguese White,José Maria da Fonseca,medium,medium,2,2,white
166,58487,Portugal,Portal do Fidalgo,91,9,Vinho Verde,Alvarinho,Provam,high,medium,0,2,white
167,58931,Portugal,Santola,84,6,Vinho Verde,Portuguese White,Messias,medium,low,2,1,white
168,59064,Portugal,Colheita Seleccionada,90,9,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Lima,high,medium,0,2,white
169,59066,Portugal,Quinta da Aveleda,90,9,Vinho Verde,Portuguese White,Aveleda,high,medium,0,2,white
170,59343,Portugal,Grande Escolha,90,9,Vinho Verde,Portuguese White,Casa do Valle,high,medium,0,2,white
171,59551,Portugal,Casal Garcia,83,8,Vinho Verde,Portuguese White,Caves Aliança,low,low,1,1,white
172,60132,Portugal,Varanda do Conde,90,9,Vinho Verde,Portuguese White,Provam,high,medium,0,2,white
173,61837,Portugal,Casal Garcia,88,9,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Lima,high,medium,0,2,white
175,64024,Portugal,Adamado,85,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Lima,medium,medium,2,2,white
176,64034,Portugal,Fonte,85,8,Vinho Verde,Portuguese White,Aveleda,medium,low,2,1,white
179,64555,Portugal,Casal Garcia,84,8,Vinho Verde,Portuguese White,Aveleda,medium,low,2,1,white
180,64728,Portugal,Tinto,83,5,Vinho Verde,Portuguese Red,Campelo,low,low,1,1,red
181,64862,Portugal,Branco,83,5,Vinho Verde,Portuguese White,Campelo,low,low,1,1,white
182,64908,Portugal,Portal do Fidalgo,90,16,Vinho Verde,Alvarinho,Provam,high,high,0,0,white
183,64909,Portugal,Varanda do Conde,90,12,Vinho Verde,Portuguese White,Provam,high,medium,0,2,white
184,65799,Portugal,Pena de Pato,88,11,Vinho Verde,Portuguese White,Sogrape,high,medium,0,2,white
185,65947,Portugal,Clemen Reserva,88,13,Vinho Verde,Portuguese White,Touquinheiras,high,high,0,0,white
214,75608,Portugal,Raza,84,9,Vinho Verde,Portuguese White,Quinta da Raza,medium,medium,2,2,white
187,66720,Portugal,Quinta de Simaens,87,12,Vinho Verde,Portuguese White,Borges,medium,medium,2,2,white
188,67642,Portugal,Casal Garcia,86,10,Vinho Verde,Portuguese White,Casa de Vila Verde,medium,medium,2,2,white
189,68212,Portugal,Famega White,85,8,Vinho Verde,Portuguese White,Caves da Cerca,medium,low,2,1,white
190,68351,Portugal,Casal Garcia,85,9,Vinho Verde,Portuguese White,Broadbent,medium,medium,2,2,white
191,68365,Portugal,Twin Vines,85,9,Vinho Verde,Portuguese White,José Maria da Fonseca,medium,medium,2,2,white
192,68662,Portugal,Gatão,84,7,Vinho Verde,Portuguese White,Borges,medium,low,2,1,white
193,69542,Portugal,Casal Garcia,82,5,Vinho Verde,Portuguese White,Lagosta,low,low,1,1,white
194,71992,Portugal,Casal Garcia,87,10,Vinho Verde,Portuguese White,Casa do Valle,medium,medium,2,2,white
230,79765,Portugal,Casal Garcia,88,9,Vinho Verde,Loureiro,Quinta do Ameal,high,medium,0,2,white
196,72555,Portugal,Branco,86,11,Vinho Verde,Portuguese White,Conde Villar,medium,medium,2,2,white
197,72622,Portugal,Lima,86,9,Vinho Verde,Loureiro,J. Portugal Ramos,medium,medium,2,2,white
200,73135,Portugal,Lima,86,11,Vinho Verde,Loureiro,J. Portugal Ramos,medium,medium,2,2,white
201,73317,Portugal,Muros Antigos Escolha,91,13,Vinho Verde,Portuguese White,Anselmo Mendes,high,high,0,0,white
203,73662,Portugal,Grande Reserva Bruto,87,9,Vinho Verde,Portuguese Sparkling,Casa do Valle,medium,medium,2,2,white
205,74219,Portugal,Casal Garcia,90,15,Vinho Verde,Loureiro,Casa de Vilacetinho,high,high,0,0,white
207,74645,Portugal,Xadrez,84,7,Vinho Verde,Portuguese White,Dão Sul,medium,low,2,1,white
208,74651,Portugal,Aphros Rosé,84,9,Vinho Verde,Vinhão,Casal Paço Padreiro,medium,medium,2,2,white
209,74740,Portugal,Muros Antigos,90,14,Vinho Verde,Portuguese White,Anselmo Mendes,high,high,0,0,white
210,75027,Portugal,Azul Portugal Escolha,85,11,Vinho Verde,Portuguese White,Wines & Winemakers,medium,medium,2,2,white
211,75212,Portugal,Rosé,84,9,Vinho Verde,Espadeiro,Conde Villar,medium,medium,2,2,red
212,75322,Portugal,Cruzeiro,85,9,Vinho Verde,Portuguese White,Vinhos Norte,medium,medium,2,2,white
213,75349,Portugal,Casal Garcia,89,15,Vinho Verde,Avesso,Casa de Vilacetinho,high,high,0,0,white
258,84392,Portugal,Arca Nova Colheita,88,9,Vinho Verde,Portuguese White,Quinta das Arcas,high,medium,0,2,white
217,76655,Portugal,Grande Escolha,91,15,Vinho Verde,Portuguese White,Casa do Valle,high,high,0,0,white
219,77220,Portugal,Casal Garcia,89,10,Vinho Verde,Portuguese White,Casa do Valle,high,medium,0,2,white
220,77249,Portugal,Casal Garcia,89,12,Vinho Verde,Portuguese White,Solar de Pinheiro,high,medium,0,2,white
222,78412,Portugal,Clemen Reserva,88,12,Vinho Verde,Portuguese White,Wines & Winemakers,high,medium,0,2,white
223,78414,Portugal,Avesso,88,12,Vinho Verde,Portuguese White,Solar de Pinheiro,high,medium,0,2,white
224,78415,Portugal,Quinta de Simaens,88,13,Vinho Verde,Portuguese White,Borges,high,high,0,0,white
225,79119,Portugal,Avesso,89,13,Vinho Verde,Avesso,Solar de Pinheiro,high,high,0,0,white
226,79410,Portugal,Quinta da Aveleda,89,9,Vinho Verde,Portuguese White,Aveleda,high,medium,0,2,white
227,79463,Portugal,Via Latina,88,13,Vinho Verde,Alvarinho,Vercoope,high,high,0,0,white
228,79638,Portugal,Azal,87,12,Vinho Verde,Portuguese White,Solar de Pinheiro,medium,medium,2,2,white
229,79732,Portugal,Casal Garcia,89,14,Vinho Verde,Alvarinho,Casa de Vila Verde,high,high,0,0,white
270,96091,Portugal,Casal Garcia,88,16,Vinho Verde,Alvarinho,Quinta de Gomariz,high,high,0,0,white
231,80014,Portugal,Colheita Seleccionada,89,12,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Lima,high,medium,0,2,white
232,80188,Portugal,AT,86,9,Vinho Verde,Portuguese White,Borges,medium,medium,2,2,white
233,80488,Portugal,Santola,86,7,Vinho Verde,Portuguese White,Messias,medium,low,2,1,white
234,80625,Portugal,Vera,88,12,Vinho Verde,Portuguese White,Casa do Valle,high,medium,0,2,white
235,80665,Portugal,Casal Garcia,87,15,Vinho Verde,Loureiro,Quinta do Tamariz,medium,high,2,0,white
236,81410,Portugal,Rei do Minho,85,9,Vinho Verde,Portuguese White,Vinicola do Norte,medium,medium,2,2,white
237,81539,Portugal,Via Latina,86,6,Vinho Verde,Loureiro,Vercoope,medium,low,2,1,white
240,81832,Portugal,AT,86,9,Vinho Verde,Portuguese White,Borges,medium,medium,2,2,white
241,81852,Portugal,Casal Garcia,88,10,Vinho Verde,Portuguese White,Casa do Valle,high,medium,0,2,white
243,82073,Portugal,Aliança,85,7,Vinho Verde,Portuguese White,Caves Aliança,medium,low,2,1,white
244,82355,Portugal,Azul Portugal Escolha,85,11,Vinho Verde,Portuguese White,Wines & Winemakers,medium,medium,2,2,white
245,82434,Portugal,Hera Grande Escolha,86,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Barca,medium,medium,2,2,white
246,82756,Portugal,Azul Portugal Escolha,87,11,Vinho Verde,Portuguese White,Wines & Winemakers,medium,medium,2,2,white
247,83335,Portugal,Casal Garcia,87,7,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Lima,medium,low,2,1,white
248,83367,Portugal,Terras de Felgueiras,85,6,Vinho Verde,Portuguese White,Vercoope,medium,low,2,1,white
249,83368,Portugal,Estreia Grande Escolha,85,13,Vinho Verde,Alvarinho,Viniverde,medium,high,2,0,white
250,83917,Portugal,Azal,87,13,Vinho Verde,Azal,Solar de Pinheiro,medium,high,2,0,white
251,83937,Portugal,Twin Vines,86,7,Vinho Verde,Portuguese White,José Maria da Fonseca,medium,low,2,1,white
252,83940,Portugal,Cape Roca Fisherman,85,11,Vinho Verde,Portuguese White,Casca Wines,medium,medium,2,2,white
253,83944,Portugal,Via Latina,85,6,Vinho Verde,Portuguese White,Vercoope,medium,low,2,1,white
254,83969,Portugal,Pavão,84,6,Vinho Verde,Portuguese White,Vercoope,medium,low,2,1,white
255,84210,Portugal,Estreia Grande Escolha,84,9,Vinho Verde,Loureiro,Viniverde,medium,medium,2,2,white
256,84213,Portugal,Hera,84,7,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Barca,medium,low,2,1,white
257,84262,Portugal,Aliança,86,9,Vinho Verde,Portuguese White,Caves Aliança,medium,medium,2,2,white
271,96092,Portugal,Casal Garcia,88,16,Vinho Verde,Avesso,Quinta de Gomariz,high,high,0,0,white
259,84536,Portugal,Casal Garcia,86,10,Vinho Verde,Portuguese White,Casa de Vila Verde,medium,medium,2,2,white
260,84564,Portugal,Estreia,83,8,Vinho Verde,Portuguese White,Viniverde,low,low,1,1,white
262,85119,Portugal,Grand Escolha,86,7,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Barca,medium,low,2,1,white
264,86323,Portugal,Casal Garcia,86,12,Vinho Verde,Portuguese White,Aveleda,medium,medium,2,2,white
266,94028,Portugal,Deu la Deu,90,9,Vinho Verde,Alvarinho,Adega de Monção,high,medium,0,2,white
267,94598,Portugal,Muralhas de Monção,89,9,Vinho Verde,Portuguese White,Adega de Monção,high,medium,0,2,white
269,94902,Portugal,Quinta da Aveleda,89,9,Vinho Verde,Portuguese White,Aveleda,high,medium,0,2,white
275,99343,Portugal,Casal Garcia,86,13,Vinho Verde,Loureiro,Quinta de Gomariz,medium,high,2,0,white
289,102337,Portugal,Trevo,84,9,Vinho Verde,Portuguese White,Quinta do Portal,medium,medium,2,2,white
272,97872,Portugal,Casal Garcia,87,9,Vinho Verde,Alvarinho,Vera,medium,medium,2,2,white
273,98759,Portugal,Casal Garcia,86,9,Vinho Verde,Portuguese White,Vera,medium,medium,2,2,white
274,99050,Portugal,Fuzelo,86,9,Vinho Verde,Portuguese White,Adega de Monção,medium,medium,2,2,white
310,112237,Portugal,Arca Nova,88,9,Vinho Verde,Portuguese White,Quinta das Arcas,high,medium,0,2,white
276,100257,Portugal,Aliança,85,9,Vinho Verde,Portuguese White,Caves Aliança,medium,medium,2,2,white
277,100537,Portugal,Tinto,85,9,Vinho Verde,Portuguese Red,Adega de Monção,medium,medium,2,2,red
281,101096,Portugal,Daphne,90,9,Vinho Verde,Loureiro,Casal Paço Padreiro,high,medium,0,2,white
282,101131,Portugal,Aveleda,85,9,Vinho Verde,Portuguese White,Aveleda,medium,medium,2,2,white
285,102030,Portugal,Casal Garcia Branco,84,9,Vinho Verde,Portuguese White,Aveleda,medium,medium,2,2,white
287,102042,Portugal,Clemens Reserva,84,9,Vinho Verde,Portuguese White,Wines & Winemakers,medium,medium,2,2,white
288,102271,Portugal,Grand Escolha,90,15,Vinho Verde,Portuguese White,Casa do Valle,high,high,0,0,white
332,122012,Portugal,Casal Garcia,90,15,Vinho Verde,Loureiro,Quinta do Ameal,high,high,0,0,white
291,102813,Portugal,Afros Branco,89,9,Vinho Verde,Loureiro,Casal Paço Padreiro,high,medium,0,2,white
292,102962,Portugal,Salsus,84,9,Vinho Verde,Portuguese White,Wines & Winemakers,medium,medium,2,2,white
293,103458,Portugal,Silenus,89,9,Vinho Verde,Vinhão,Casal Paço Padreiro,high,medium,0,2,white
294,104346,Portugal,Quinta de Lourosa,88,8,Vinho Verde,Portuguese White,Dão Sul,high,low,0,1,white
296,105267,Portugal,Quinta de Simaens,87,13,Vinho Verde,Portuguese White,Borges,medium,high,2,0,white
297,105568,Portugal,Aphros Ten,87,14,Vinho Verde,Loureiro,Casal Paço Padreiro,medium,high,2,0,white
298,106362,Portugal,Casal Garcia,88,8,Vinho Verde,Portuguese White,Casa de Vila Verde,high,low,0,1,white
299,109347,Portugal,Twin Vines,85,9,Vinho Verde,Portuguese White,José Maria da Fonseca,medium,medium,2,2,white
300,109878,Portugal,Portal do Fidalgo,90,16,Vinho Verde,Alvarinho,Provam,high,high,0,0,white
301,109879,Portugal,Varanda do Conde,90,12,Vinho Verde,Portuguese White,Provam,high,medium,0,2,white
302,109931,Portugal,Santola,84,6,Vinho Verde,Portuguese White,Messias,medium,low,2,1,white
303,110521,Portugal,Casal Garcia,83,8,Vinho Verde,Portuguese White,Caves Aliança,low,low,1,1,white
304,110717,Portugal,Portal do Fidalgo,91,9,Vinho Verde,Alvarinho,Provam,high,medium,0,2,white
305,111324,Portugal,Colheita Seleccionada,90,9,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Lima,high,medium,0,2,white
306,111326,Portugal,Quinta da Aveleda,90,9,Vinho Verde,Portuguese White,Aveleda,high,medium,0,2,white
307,111603,Portugal,Grande Escolha,90,9,Vinho Verde,Portuguese White,Casa do Valle,high,medium,0,2,white
308,111639,Portugal,Pena de Pato,88,11,Vinho Verde,Portuguese White,Sogrape,high,medium,0,2,white
309,111937,Portugal,Clemen Reserva,88,13,Vinho Verde,Portuguese White,Touquinheiras,high,high,0,0,white
352,135187,Portugal,Arca Nova,88,9,Vinho Verde,Portuguese White,Quinta das Arcas,high,medium,0,2,white
311,112512,Portugal,Varanda do Conde,90,9,Vinho Verde,Portuguese White,Provam,high,medium,0,2,white
312,113400,Portugal,Quinta de Simaens,87,12,Vinho Verde,Portuguese White,Borges,medium,medium,2,2,white
313,114247,Portugal,Casal Garcia,88,9,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Lima,high,medium,0,2,white
314,115102,Portugal,Casal Garcia,86,10,Vinho Verde,Portuguese White,Casa de Vila Verde,medium,medium,2,2,white
