,ASIN,product_name,seller,seller_link,seller2,seller_link2,batteries,batteries_required?,date_first_available,discontinued_by_mfg,item_model_number,package_dimensions,product_dimensions,freq_bought,freq_bought_link,link_to_all_reviews
18,B07YGZL8XF ,"LG 27GL83A-B 27 Inch Ultragear QHD IPS 1ms NVIDIA G-SYNC Compatible Gaming Monitor, Black",,,Visit the LG Store,/stores/LG+Electronics/page/E8585304-4D77-4965-9D22-B5F2CF409E38?ref_=ast_bln,,,"September 1, 2019",,27GL83A-B,,10.8 x 24.2 x 22.6 inches,"DisplayPort Cable, iVANKY DP Cable 6.6ft/2M, [4K@60Hz, 2K@144Hz, 2K@165Hz], Nylon Braided High Speed…",/ivanky-DisplayPort-Braided-Display-Compatible/dp/B078HVDMW2/ref=pd_bxgy_2/132-5110476-8447731?_encoding=UTF8&pd_rd_i=B078HVDMW2&pd_rd_r=25ed66bf-2179-40da-b57c-573224095389&pd_rd_w=4hnRM&pd_rd_wg=151QN&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=1BZ8BSH6JMB93JXGJTBB&psc=1&refRID=1BZ8BSH6JMB93JXGJTBB,/LG-27GL83A-B-Ultragear-Compatible-Monitor/product-reviews/B07YGZL8XF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
19,B08CVTTNN4 ,"LG 27UN850-W 27 Inch Ultrafine UHD (3840 x 2160) IPS Display with VESA DisplayHDR 400, USB Type-C and 3-Side Virtually Borderless Display with Height/Swivel/Pivot/Tilt Adjustable Stand, Silver",,,Visit the LG Store,/stores/LG+Electronics/page/E8585304-4D77-4965-9D22-B5F2CF409E38?ref_=ast_bln,,,"July 1, 2020",,27UN850-W,,24.1 x 9.2 x 17.7 inches,,,/LG-27UN850-W-DisplayHDR-Borderless-Adjustable/product-reviews/B08CVTTNN4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
20,B08MPDX2G5 ,Comix Monitor Stand Riser with 2-Layer Organizer Drawer – Metal Screen Displayer Stand with Double Drawers for Home and Office Desktop Management (Dark Brown B2525),Comix Group,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A28ZKYI2GX8H30&isAmazonFulfilled=1,Visit the Comix Store,/stores/Comix/page/74AED4FF-06F7-4CA9-9029-24AA4C6F45FA?ref_=ast_bln,,,"November 4, 2020",,,16.42 x 12.64 x 5.71 inches,,,,
21,B08QGR1H1C ,Dual Monitor with Laptop Stand Mount - Height Adjustable Dual Monitor arm Mount Desk Stand with Laptop Tray Fit Two 13 to 30 Inch Flat Curved Computer Screens and 10 to 19 Inch Notebooks,HY bracket,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1ZXX6XNX5CLRA&isAmazonFulfilled=1,Brand: FORGING MOUNT,/FORGING-MOUNT/b/ref=bl_dp_s_web_20553575011?ie=UTF8&node=20553575011&field-lbr_brands_browse-bin=FORGING+MOUNT,,,"December 13, 2020",No,FM4512,,33 x 11 x 33 inches,"Sceptre 20"" 1600x900 75Hz Ultra Thin LED Monitor 2x HDMI VGA Built-in Speakers, Machine Black Wide…",https://www.amazon.com/Sceptre-E205W-16003R-Frameless-Speakers-Metallic/dp/B07743412C/ref=pd_bxgy_2/139-6889506-4603047?_encoding=UTF8&pd_rd_i=B07743412C&pd_rd_r=0358bbe7-f65a-49ac-813a-4f1ec5f45405&pd_rd_w=D7BR4&pd_rd_wg=lgpEY&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=9XACPZ0W032YHH9YSZSE&psc=1&refRID=9XACPZ0W032YHH9YSZSE,
22,B0787WGCXT ,ViewSonic VX3276-MHD 32 Inch 1080p Frameless Widescreen IPS Monitor with Screen Split Capability HDMI and DisplayPort,,,Visit the ViewSonic Store,/stores/ViewSonic+Corporation/page/137763D7-E51B-4650-B00F-ED579E4052F5?ref_=ast_bln,,,"July 1, 2018",No,VX3276-mhd,,19.84 x 9.06 x 28.07 inches,,,/ViewSonic-VX3276-MHD-Frameless-Widescreen-DisplayPort/product-reviews/B0787WGCXT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
23,B07FBS36W2 ,"Samsung 34-Inch SJ55W Ultrawide Gaming Monitor (LS34J550WQNXZA) – 75Hz Refresh, WQHD Computer Monitor, 3440 x 1440p Resolution, 4ms Response, FreeSync, Split Screen, HDMI, Black",,,Visit the SAMSUNG Store,/stores/Samsung%C2%AE/page/F50AFABA-4CDE-4A95-84D0-CA4C61819FEB?ref_=ast_bln,,,"October 1, 2018",,LS34J550WQNXZA,,9.55 x 32.6 x 18.53 inches,,,/Samsung-S34J55W-34-Inch-Ultrawide-LS34J550WQNXZA/product-reviews/B07FBS36W2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
24,B072F3DL6P ,"ViewSonic VA2246MH-LED 22 Inch Full HD 1080p LED Monitor with HDMI and VGA Inputs for Home and Office, Black",,,Visit the ViewSonic Store,/stores/ViewSonic+Corporation/page/137763D7-E51B-4650-B00F-ED579E4052F5?ref_=ast_bln,,,"April 30, 2017",No,VA2246MH-LED,,7.78 x 20.06 x 14.41 inches,,,/ViewSonic-VA2246MH-LED-Monitor-Inputs-Office/product-reviews/B072F3DL6P/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
25,B08RH8VGG9 ,"ASUS VP279HE 27” Monitor, 1080P Full HD, 75Hz, IPS, Adaptive-Sync/FreeSync, Eye Care, HDMI VGA, Frameless, Low Blue Light, Flicker Free, VESA Wall Mountable",,,Visit the ASUS Store,/stores/ASUS/page/02389710-881F-4F25-89E8-F92DEEA14D5A?ref_=ast_bln,,,"December 25, 2020",,VP279HE,,24.15 x 17.06 x 8.64 inches,,,
26,B08KFLY9DQ ,"Philips Brilliance 279P1 27"" Frameless Monitor, 4K UHD IPS (3840x2160), 122 percent sRGB; 103 NTSC, Speakers, USB-C docking, Power-saving PowerSensor, Height Adjustable, VESA, 4Yr Advance Replacement",,,Visit the Philips Computer Monitors Store,/stores/Philips+Computer+Monitors/page/FBF8895D-E82B-4D86-A6D5-979430B390F6?ref_=ast_bln,,,"January 5, 2021",,279P1,,24.1 x 14.4 x 2.1 inches,,,/Philips-279P1-Power-saving-PowerSensor-Replacement/product-reviews/B08KFLY9DQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
27,B07MQBPMJ2 ,"Acer Nitro XV272U Pbmiiprzx 27"" WQHD (2560 x 1440) IPS G-SYNC Compatible Monitor, 144Hz, 1ms VRB, VESA Certified DisplayHDR400, DCI-P3, Delta E<2",,,Visit the Acer Store,/stores/Acer/page/0074ABD9-06D1-469D-B509-C3134D6FFFF2?ref_=ast_bln,,,"January 28, 2019",,XV272U Pbmiiprzx,,24.2 x 9.2 x 20.5 inches,"DisplayPort Cable, iVANKY DP Cable 6.6ft/2M, [4K@60Hz, 2K@144Hz, 2K@165Hz], Nylon Braided High Speed…",/ivanky-DisplayPort-Braided-Display-Compatible/dp/B078HVDMW2/ref=pd_bxgy_2/141-5417344-3813453?_encoding=UTF8&pd_rd_i=B078HVDMW2&pd_rd_r=aeb8430b-bae1-4b61-85ef-ddeb4e477f9c&pd_rd_w=Xjnns&pd_rd_wg=WsCOU&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=XBEV7EHQ3XFKVP7M5751&psc=1&refRID=XBEV7EHQ3XFKVP7M5751,/Acer-XV272U-Pbmiiprzx-Technology-DisplayHDR400/product-reviews/B07MQBPMJ2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
28,B072XFFQ4K ,"BenQ 27 Inch IPS Monitor | 1080P | Proprietary Eye-Care Tech | Ultra-Slim Bezel | Adaptive Brightness for Image Quality | Speakers | GW2780,Black",,,Visit the BenQ Store,/stores/BenQ/page/C3508B2B-624C-46DC-8CB3-AB59BE27408D?ref_=ast_bln,,,"August 2, 2017",No,GW2780,,18.23 x 7.2 x 24.09 inches,,,/BenQ-GW2780-Optimized-Brightness-Technology/product-reviews/B072XFFQ4K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
29,B089BTLL9K ,"Sceptre IPS 27-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, Machine Black 2020 (E275W-FPT)",,,Visit the Sceptre Store,/stores/Sceptre+Inc./page/ACF6E09F-2DD3-41A9-AB26-0C549BB6EC35?ref_=ast_bln,,,"May 25, 2020",,E275W-FPT,,24.12 x 7.03 x 17.12 inches,,,/Sceptre-Business-Computer-Speakers-e275W-FPT/product-reviews/B089BTLL9K/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
30,B07Z7ZM8CJ ,"MOUNTUP Dual Monitor Stand - Adjustable Gas Spring Dual Monitor Mount, Monitor Desk Mount with C Clamp, Grommet Mounting Base, Monitor Arm for Computer Screen up to 32 Inch, MU0005",MOUNTUP,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3O3GHLAAB8VWC&isAmazonFulfilled=1,Visit the MOUNTUP Store,/stores/MOUNTUP/page/15E8E5C0-71A7-44EF-9701-F3BE86321CF1?ref_=ast_bln,,,"October 17, 2019",,MU0005,16.02 x 12.2 x 7.05 inches,,"MOUNTUP Single Monitor Desk Mount - Adjustable Gas Spring Monitor Arm, VESA Mount with C Clamp…",https://www.amazon.com/MOUNTUP-Single-Monitor-Desk-Mount/dp/B07Z7ZGHD5/ref=pd_bxgy_2/134-7657421-3147218?_encoding=UTF8&pd_rd_i=B07Z7ZGHD5&pd_rd_r=b49d1dd2-269a-4a52-a105-97cfc10123d8&pd_rd_w=L8PJT&pd_rd_wg=876mW&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=YG3Y7ZSFT5NVVNH1PZNK&psc=1&refRID=YG3Y7ZSFT5NVVNH1PZNK,
31,B08QD7W8HT ,"FORGING MOUNT Dual Monitor Stand-Vertical Stack Screen Desk Mount Stand Support Two 17 to 32 Inch Computer Monitors with C Clamp Grommet Base,VESA 75 100 Compatible",HY bracket,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1ZXX6XNX5CLRA&isAmazonFulfilled=1,Brand: FORGING MOUNT,/FORGING-MOUNT/b/ref=bl_dp_s_web_20553575011?ie=UTF8&node=20553575011&field-lbr_brands_browse-bin=FORGING+MOUNT,,,"December 11, 2020",,FM4508,,6 x 6 x 33 inches,,,
32,B08LLF9NS1 ,"LG 32GN650-B 32” Ultragear QHD (2560 x 1440) Gaming Monitor with 165Hz Refresh Rate with 1ms Motion Blur Reduction, HDR 10 Support and AMD FreeSync – Black",,,Visit the LG Store,/stores/LG+Electronics/page/E8585304-4D77-4965-9D22-B5F2CF409E38?ref_=ast_bln,,,"October 15, 2020",,32GN650-B,,28.1 x 11.5 x 19.3 inches,"DisplayPort Cable 1.4, iVANKY 8K DP Cable 6.6ft [8K@60Hz, 4K@144Hz, 1080P@240Hz], Support HBR3, 32…",/DisplayPort-Braided-32-4Gbps-Compatible-Monitor/dp/B07VVJZJ2P/ref=pd_bxgy_2/144-5466911-1986218?_encoding=UTF8&pd_rd_i=B07VVJZJ2P&pd_rd_r=92432088-45c7-48e5-bff4-53e97d60c2af&pd_rd_w=7xHug&pd_rd_wg=b0SFG&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=A3T9DSXVFX6ZSH69DQHH&psc=1&refRID=A3T9DSXVFX6ZSH69DQHH,/LG-32GN650-B-Ultragear-Reduction-FreeSync/product-reviews/B08LLF9NS1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
33,B088BC5HKF ,"ASUS ProArt Display PA248QV 24.1” WUXGA (1920 x 1200) 16:10 Monitor, 100% sRGB/Rec.709 ΔE < 2, IPS, DisplayPort HDMI D-Sub, Calman Verified",,,Visit the ASUS Store,/stores/ASUS/page/02389710-881F-4F25-89E8-F92DEEA14D5A?ref_=ast_bln,,,"May 15, 2020",,PA248QV,,22.55 x 18.66 x 7.56 inches,"DisplayPort to DisplayPort 6 Feet Cable, Benfei DP to DP Male to Male Cable Gold-Plated Cord…",/DisplayPort-Benfei-Gold-Plated-Supports-Compatible/dp/B077BPW8XJ/ref=pd_bxgy_2/138-3929481-3127931?_encoding=UTF8&pd_rd_i=B077BPW8XJ&pd_rd_r=a16f7fcb-99c8-46c8-94c2-91a6bfd55c52&pd_rd_w=1HGiV&pd_rd_wg=Xxq6I&pf_rd_p=f325d01c-4658-4593-be83-3e12ca663f0e&pf_rd_r=S3TRTJ94XVWQ8BWYT0K5&psc=1&refRID=S3TRTJ94XVWQ8BWYT0K5,/ASUS-ProArt-Display-PA248QV-WUXGA/product-reviews/B088BC5HKF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
34,B07CVL2D2S ,"Acer SB220Q bi 21.5 Inches Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA Port), Black",ETRON DEALS - ELECTRONICS SUPPLIER,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1SWJIE6R96GRM&isAmazonFulfilled=1,Visit the Acer Store,/stores/Acer/page/0074ABD9-06D1-469D-B509-C3134D6FFFF2?ref_=ast_bln,,,"July 9, 2018",No,SB220Q bi,,19.6 x 8.3 x 15.1 inches,,,/Acer-SB220Q-Ultra-Thin-Frame-Monitor/product-reviews/B07CVL2D2S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
35,B07HKV5RLG ,"Dell SE2419Hx 24"" IPS Full HD (1920x1080) Monitor, Black",S&D Exchange,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A34OXMDGQIRHSW&isAmazonFulfilled=1,Visit the Dell Store,/stores/Dell/page/9B75DD0E-9F42-4B9B-ACAA-F329B23ADE7D?ref_=ast_bln,,,"September 12, 2018",,SE2419Hx,,21.24 x 6.02 x 16.28 inches,,,/Dell-SE2419Hx-23-8-1920x1080-Monitor/product-reviews/B07HKV5RLG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
