,Unnamed: 0,country,designation,points,price,province,variety,winery,rating
148,49068,Portugal,Salsus,85,9,Vinho Verde,Portuguese White,Wines & Winemakers,2
149,49072,Portugal,Hera,85,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Barca,2
150,49350,Portugal,Lima,85,9,Vinho Verde,Loureiro,J. Portugal Ramos,2
151,49653,Portugal,Portal da Calçada,85,14,Vinho Verde,Portuguese White,Quinta da Calçada,2
152,49660,Portugal,Azul Portugal Escolha,85,11,Vinho Verde,Portuguese White,Wines & Winemakers,2
153,49665,Portugal,Casal Garcia,85,9,Vinho Verde,Portuguese White,Aveleda,2
154,49670,Portugal,Royal Palmeira,84,13,Vinho Verde,Loureiro,Ideal Drinks,2
155,49678,Portugal,Casal Garcia,84,8,Vinho Verde,Rosé,Aveleda,2
156,49790,Portugal,Rei do Minho,85,9,Vinho Verde,Portuguese White,Vinicola do Norte,2
157,50089,Portugal,Casal Garcia,85,10,Vinho Verde,Rosé,Casa do Valle,2
158,50252,Portugal,Terra Antiga,84,9,Vinho Verde,Portuguese White,Quintas de Melgaço,2
159,50271,Portugal,Gatão Branco,84,9,Vinho Verde,Portuguese White,Borges,2
160,50393,Portugal,Aliança,85,7,Vinho Verde,Portuguese White,Caves Aliança,2
161,50675,Portugal,Azul Portugal Escolha,85,11,Vinho Verde,Portuguese White,Wines & Winemakers,2
162,50858,Portugal,Ela Branco,83,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Barca,1
163,50870,Portugal,Ela,83,9,Vinho Verde,Rosé,Adega Cooperativa Ponte de Barca,1
164,53022,Portugal,Grande Reserva Bruto,87,9,Vinho Verde,Portuguese Sparkling,Casa do Valle,2
165,58347,Portugal,Twin Vines,85,9,Vinho Verde,Portuguese White,José Maria da Fonseca,2
166,58487,Portugal,Portal do Fidalgo,91,9,Vinho Verde,Alvarinho,Provam,0
167,58931,Portugal,Santola,84,6,Vinho Verde,Portuguese White,Messias,2
168,59064,Portugal,Colheita Seleccionada,90,9,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Lima,0
169,59066,Portugal,Quinta da Aveleda,90,9,Vinho Verde,Portuguese White,Aveleda,0
170,59343,Portugal,Grande Escolha,90,9,Vinho Verde,Portuguese White,Casa do Valle,0
171,59551,Portugal,Casal Garcia,83,8,Vinho Verde,Portuguese White,Caves Aliança,1
172,60132,Portugal,Varanda do Conde,90,9,Vinho Verde,Portuguese White,Provam,0
173,61837,Portugal,Casal Garcia,88,9,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Lima,0
174,63718,Portugal,Casal Garcia,85,9,Vinho Verde,Rosé,Casa do Valle,2
175,64024,Portugal,Adamado,85,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Lima,2
176,64034,Portugal,Fonte,85,8,Vinho Verde,Portuguese White,Aveleda,2
177,64214,Portugal,Casal Garcia,84,5,Vinho Verde,Rosé,Campelo,2
178,64543,Portugal,Casal Garcia,84,8,Vinho Verde,Rosé,Aveleda,2
179,64555,Portugal,Casal Garcia,84,8,Vinho Verde,Portuguese White,Aveleda,2
180,64728,Portugal,Tinto,83,5,Vinho Verde,Portuguese Red,Campelo,1
181,64862,Portugal,Branco,83,5,Vinho Verde,Portuguese White,Campelo,1
182,64908,Portugal,Portal do Fidalgo,90,16,Vinho Verde,Alvarinho,Provam,0
183,64909,Portugal,Varanda do Conde,90,12,Vinho Verde,Portuguese White,Provam,0
184,65799,Portugal,Pena de Pato,88,11,Vinho Verde,Portuguese White,Sogrape,0
185,65947,Portugal,Clemen Reserva,88,13,Vinho Verde,Portuguese White,Touquinheiras,0
186,66097,Portugal,Arca Nova,88,9,Vinho Verde,Portuguese White,Quinta das Arcas,0
187,66720,Portugal,Quinta de Simaens,87,12,Vinho Verde,Portuguese White,Borges,2
188,67642,Portugal,Casal Garcia,86,10,Vinho Verde,Portuguese White,Casa de Vila Verde,2
189,68212,Portugal,Famega White,85,8,Vinho Verde,Portuguese White,Caves da Cerca,2
190,68351,Portugal,Casal Garcia,85,9,Vinho Verde,Portuguese White,Broadbent,2
191,68365,Portugal,Twin Vines,85,9,Vinho Verde,Portuguese White,José Maria da Fonseca,2
192,68662,Portugal,Gatão,84,7,Vinho Verde,Portuguese White,Borges,2
193,69542,Portugal,Casal Garcia,82,5,Vinho Verde,Portuguese White,Lagosta,1
194,71992,Portugal,Casal Garcia,87,10,Vinho Verde,Portuguese White,Casa do Valle,2
195,72095,Portugal,Dom Diogo Colheita Seleccionada,87,9,Vinho Verde,Arinto,Quinta da Raza,2
196,72555,Portugal,Branco,86,11,Vinho Verde,Portuguese White,Conde Villar,2
197,72622,Portugal,Lima,86,9,Vinho Verde,Loureiro,J. Portugal Ramos,2
198,72853,Portugal,Casal Garcia,86,10,Vinho Verde,Rosé,Casa do Valle,2
200,73135,Portugal,Lima,86,11,Vinho Verde,Loureiro,J. Portugal Ramos,2
201,73317,Portugal,Muros Antigos Escolha,91,13,Vinho Verde,Portuguese White,Anselmo Mendes,0
203,73662,Portugal,Grande Reserva Bruto,87,9,Vinho Verde,Portuguese Sparkling,Casa do Valle,2
205,74219,Portugal,Casal Garcia,90,15,Vinho Verde,Loureiro,Casa de Vilacetinho,0
206,74353,Portugal,Casal Garcia,85,12,Vinho Verde,Rosé,Casa do Valle,2
207,74645,Portugal,Xadrez,84,7,Vinho Verde,Portuguese White,Dão Sul,2
208,74651,Portugal,Aphros Rosé,84,9,Vinho Verde,Vinhão,Casal Paço Padreiro,2
209,74740,Portugal,Muros Antigos,90,14,Vinho Verde,Portuguese White,Anselmo Mendes,0
210,75027,Portugal,Azul Portugal Escolha,85,11,Vinho Verde,Portuguese White,Wines & Winemakers,2
211,75212,Portugal,Rosé,84,9,Vinho Verde,Espadeiro,Conde Villar,2
212,75322,Portugal,Cruzeiro,85,9,Vinho Verde,Portuguese White,Vinhos Norte,2
213,75349,Portugal,Casal Garcia,89,15,Vinho Verde,Avesso,Casa de Vilacetinho,0
214,75608,Portugal,Raza,84,9,Vinho Verde,Portuguese White,Quinta da Raza,2
215,75627,Portugal,Dom Diogo Colheita Seleccionada,84,9,Vinho Verde,Rosé,Quinta da Raza,2
217,76655,Portugal,Grande Escolha,91,15,Vinho Verde,Portuguese White,Casa do Valle,0
219,77220,Portugal,Casal Garcia,89,10,Vinho Verde,Portuguese White,Casa do Valle,0
220,77249,Portugal,Casal Garcia,89,12,Vinho Verde,Portuguese White,Solar de Pinheiro,0
222,78412,Portugal,Clemen Reserva,88,12,Vinho Verde,Portuguese White,Wines & Winemakers,0
223,78414,Portugal,Avesso,88,12,Vinho Verde,Portuguese White,Solar de Pinheiro,0
224,78415,Portugal,Quinta de Simaens,88,13,Vinho Verde,Portuguese White,Borges,0
225,79119,Portugal,Avesso,89,13,Vinho Verde,Avesso,Solar de Pinheiro,0
226,79410,Portugal,Quinta da Aveleda,89,9,Vinho Verde,Portuguese White,Aveleda,0
227,79463,Portugal,Via Latina,88,13,Vinho Verde,Alvarinho,Vercoope,0
228,79638,Portugal,Azal,87,12,Vinho Verde,Portuguese White,Solar de Pinheiro,2
229,79732,Portugal,Casal Garcia,89,14,Vinho Verde,Alvarinho,Casa de Vila Verde,0
230,79765,Portugal,Casal Garcia,88,9,Vinho Verde,Loureiro,Quinta do Ameal,0
231,80014,Portugal,Colheita Seleccionada,89,12,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Lima,0
232,80188,Portugal,AT,86,9,Vinho Verde,Portuguese White,Borges,2
233,80488,Portugal,Santola,86,7,Vinho Verde,Portuguese White,Messias,2
234,80625,Portugal,Vera,88,12,Vinho Verde,Portuguese White,Casa do Valle,0
235,80665,Portugal,Casal Garcia,87,15,Vinho Verde,Loureiro,Quinta do Tamariz,2
236,81410,Portugal,Rei do Minho,85,9,Vinho Verde,Portuguese White,Vinicola do Norte,2
237,81539,Portugal,Via Latina,86,6,Vinho Verde,Loureiro,Vercoope,2
239,81709,Portugal,Casal Garcia,85,10,Vinho Verde,Rosé,Casa do Valle,2
240,81832,Portugal,AT,86,9,Vinho Verde,Portuguese White,Borges,2
241,81852,Portugal,Casal Garcia,88,10,Vinho Verde,Portuguese White,Casa do Valle,0
243,82073,Portugal,Aliança,85,7,Vinho Verde,Portuguese White,Caves Aliança,2
244,82355,Portugal,Azul Portugal Escolha,85,11,Vinho Verde,Portuguese White,Wines & Winemakers,2
245,82434,Portugal,Hera Grande Escolha,86,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Barca,2
246,82756,Portugal,Azul Portugal Escolha,87,11,Vinho Verde,Portuguese White,Wines & Winemakers,2
247,83335,Portugal,Casal Garcia,87,7,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Lima,2
248,83367,Portugal,Terras de Felgueiras,85,6,Vinho Verde,Portuguese White,Vercoope,2
249,83368,Portugal,Estreia Grande Escolha,85,13,Vinho Verde,Alvarinho,Viniverde,2
250,83917,Portugal,Azal,87,13,Vinho Verde,Azal,Solar de Pinheiro,2
251,83937,Portugal,Twin Vines,86,7,Vinho Verde,Portuguese White,José Maria da Fonseca,2
252,83940,Portugal,Cape Roca Fisherman,85,11,Vinho Verde,Portuguese White,Casca Wines,2
253,83944,Portugal,Via Latina,85,6,Vinho Verde,Portuguese White,Vercoope,2
254,83969,Portugal,Pavão,84,6,Vinho Verde,Portuguese White,Vercoope,2
255,84210,Portugal,Estreia Grande Escolha,84,9,Vinho Verde,Loureiro,Viniverde,2
256,84213,Portugal,Hera,84,7,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Barca,2
257,84262,Portugal,Aliança,86,9,Vinho Verde,Portuguese White,Caves Aliança,2
258,84392,Portugal,Arca Nova Colheita,88,9,Vinho Verde,Portuguese White,Quinta das Arcas,0
259,84536,Portugal,Casal Garcia,86,10,Vinho Verde,Portuguese White,Casa de Vila Verde,2
260,84564,Portugal,Estreia,83,8,Vinho Verde,Portuguese White,Viniverde,1
261,84567,Portugal,Hera,83,7,Vinho Verde,Rosé,Adega Cooperativa Ponte de Barca,1
262,85119,Portugal,Grand Escolha,86,7,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Barca,2
263,85164,Portugal,Estreia,80,8,Vinho Verde,Rosé,Viniverde,1
264,86323,Portugal,Casal Garcia,86,12,Vinho Verde,Portuguese White,Aveleda,2
266,94028,Portugal,Deu la Deu,90,9,Vinho Verde,Alvarinho,Adega de Monção,0
267,94598,Portugal,Muralhas de Monção,89,9,Vinho Verde,Portuguese White,Adega de Monção,0
269,94902,Portugal,Quinta da Aveleda,89,9,Vinho Verde,Portuguese White,Aveleda,0
270,96091,Portugal,Casal Garcia,88,16,Vinho Verde,Alvarinho,Quinta de Gomariz,0
271,96092,Portugal,Casal Garcia,88,16,Vinho Verde,Avesso,Quinta de Gomariz,0
272,97872,Portugal,Casal Garcia,87,9,Vinho Verde,Alvarinho,Vera,2
273,98759,Portugal,Casal Garcia,86,9,Vinho Verde,Portuguese White,Vera,2
274,99050,Portugal,Fuzelo,86,9,Vinho Verde,Portuguese White,Adega de Monção,2
275,99343,Portugal,Casal Garcia,86,13,Vinho Verde,Loureiro,Quinta de Gomariz,2
276,100257,Portugal,Aliança,85,9,Vinho Verde,Portuguese White,Caves Aliança,2
277,100537,Portugal,Tinto,85,9,Vinho Verde,Portuguese Red,Adega de Monção,2
279,100838,Portugal,Muralhas de Monção,85,9,Vinho Verde,Rosé,Adega de Monção,2
280,100857,Portugal,Padeiro,85,13,Vinho Verde,Rosé,Quinta de Gomariz,2
281,101096,Portugal,Daphne,90,9,Vinho Verde,Loureiro,Casal Paço Padreiro,0
282,101131,Portugal,Aveleda,85,9,Vinho Verde,Portuguese White,Aveleda,2
283,101455,Portugal,Casal Garcia,85,9,Vinho Verde,Rosé,Vera,2
285,102030,Portugal,Casal Garcia Branco,84,9,Vinho Verde,Portuguese White,Aveleda,2
286,102041,Portugal,Espadeiro,84,13,Vinho Verde,Rosé,Quinta de Gomariz,2
287,102042,Portugal,Clemens Reserva,84,9,Vinho Verde,Portuguese White,Wines & Winemakers,2
288,102271,Portugal,Grand Escolha,90,15,Vinho Verde,Portuguese White,Casa do Valle,0
289,102337,Portugal,Trevo,84,9,Vinho Verde,Portuguese White,Quinta do Portal,2
290,102341,Portugal,Casal Garcia,84,9,Vinho Verde,Rosé,Aveleda,2
291,102813,Portugal,Afros Branco,89,9,Vinho Verde,Loureiro,Casal Paço Padreiro,0
292,102962,Portugal,Salsus,84,9,Vinho Verde,Portuguese White,Wines & Winemakers,2
293,103458,Portugal,Silenus,89,9,Vinho Verde,Vinhão,Casal Paço Padreiro,0
294,104346,Portugal,Quinta de Lourosa,88,8,Vinho Verde,Portuguese White,Dão Sul,0
296,105267,Portugal,Quinta de Simaens,87,13,Vinho Verde,Portuguese White,Borges,2
297,105568,Portugal,Aphros Ten,87,14,Vinho Verde,Loureiro,Casal Paço Padreiro,2
298,106362,Portugal,Casal Garcia,88,8,Vinho Verde,Portuguese White,Casa de Vila Verde,0
299,109347,Portugal,Twin Vines,85,9,Vinho Verde,Portuguese White,José Maria da Fonseca,2
300,109878,Portugal,Portal do Fidalgo,90,16,Vinho Verde,Alvarinho,Provam,0
301,109879,Portugal,Varanda do Conde,90,12,Vinho Verde,Portuguese White,Provam,0
302,109931,Portugal,Santola,84,6,Vinho Verde,Portuguese White,Messias,2
303,110521,Portugal,Casal Garcia,83,8,Vinho Verde,Portuguese White,Caves Aliança,1
304,110717,Portugal,Portal do Fidalgo,91,9,Vinho Verde,Alvarinho,Provam,0
305,111324,Portugal,Colheita Seleccionada,90,9,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Lima,0
306,111326,Portugal,Quinta da Aveleda,90,9,Vinho Verde,Portuguese White,Aveleda,0
307,111603,Portugal,Grande Escolha,90,9,Vinho Verde,Portuguese White,Casa do Valle,0
308,111639,Portugal,Pena de Pato,88,11,Vinho Verde,Portuguese White,Sogrape,0
309,111937,Portugal,Clemen Reserva,88,13,Vinho Verde,Portuguese White,Touquinheiras,0
310,112237,Portugal,Arca Nova,88,9,Vinho Verde,Portuguese White,Quinta das Arcas,0
311,112512,Portugal,Varanda do Conde,90,9,Vinho Verde,Portuguese White,Provam,0
312,113400,Portugal,Quinta de Simaens,87,12,Vinho Verde,Portuguese White,Borges,2
313,114247,Portugal,Casal Garcia,88,9,Vinho Verde,Loureiro,Adega Cooperativa Ponte de Lima,0
314,115102,Portugal,Casal Garcia,86,10,Vinho Verde,Portuguese White,Casa de Vila Verde,2
315,115798,Portugal,Casal Garcia,85,9,Vinho Verde,Rosé,Casa do Valle,2
316,115954,Portugal,Adamado,85,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Lima,2
317,115964,Portugal,Fonte,85,8,Vinho Verde,Portuguese White,Aveleda,2
318,116054,Portugal,Casal Garcia,84,5,Vinho Verde,Rosé,Campelo,2
319,116233,Portugal,Casal Garcia,84,8,Vinho Verde,Rosé,Aveleda,2
320,116245,Portugal,Casal Garcia,84,8,Vinho Verde,Portuguese White,Aveleda,2
321,116328,Portugal,Tinto,83,5,Vinho Verde,Portuguese Red,Campelo,1
322,116402,Portugal,Branco,83,5,Vinho Verde,Portuguese White,Campelo,1
323,118378,Portugal,Casal Garcia,85,9,Vinho Verde,Rosé,Casa do Valle,2
324,118954,Portugal,Adamado,85,9,Vinho Verde,Portuguese White,Adega Cooperativa Ponte de Lima,2
325,118964,Portugal,Fonte,85,8,Vinho Verde,Portuguese White,Aveleda,2
326,119174,Portugal,Casal Garcia,84,5,Vinho Verde,Rosé,Campelo,2
327,119833,Portugal,Casal Garcia,84,8,Vinho Verde,Rosé,Aveleda,2
328,119845,Portugal,Casal Garcia,84,8,Vinho Verde,Portuguese White,Aveleda,2
